fileName,sprint,mile,medium,long
AgnTac (1).png,0,0,1,0
AgnTac (2).png,0,0,1,0
AgnTac (3).png,0,0,1,0
AgnTac (4).png,0,0,1,0
AgnTac (5).png,0,0,1,0
AgnTac (6).png,0,0,1,0
AgnTac (7).png,0,0,1,0
AirGro (1).png,0,0,1,0
AirGro (2).png,0,0,1,0
AirGro (3).png,0,0,1,0
AirGro (4).png,0,0,1,0
AirGro (5).png,0,0,1,0
AirGro (6).png,0,0,1,0
AirGro (7).png,0,0,1,0
AirGro (8).png,0,0,1,0
AirGro (9).png,0,0,1,0
AirGro (10).png,0,0,1,0
AirGro (11).png,0,0,1,0
AirGro (12).png,0,0,1,0
AirGro (13).png,0,0,1,0
AirGro (14).png,0,0,1,0
BiwHay (1).png,0,0,1,1
BiwHay (2).png,0,0,1,1
BiwHay (3).png,0,0,1,1
BiwHay (4).png,0,0,1,1
BiwHay (5).png,0,0,1,1
BiwHay (6).png,0,0,1,1
BiwHay (7).png,0,0,1,1
CurCha (1).png,1,0,0,0
CurCha (2).png,1,0,0,0
CurCha (3).png,1,0,0,0
CurCha (4).png,1,0,0,0
CurCha (5).png,1,0,0,0
CurCha (6).png,1,0,0,0
CurCha (7).png,1,0,0,0
DaiSca (1).png,0,1,1,0
DaiSca (2).png,0,1,1,0
DaiSca (3).png,0,1,1,0
DaiSca (4).png,0,1,1,0
DaiSca (5).png,0,1,1,0
DaiSca (6).png,0,1,1,0
DaiSca (7).png,0,1,1,0
EisFla (1).png,0,0,1,1
EisFla (2).png,0,0,1,1
EisFla (3).png,0,0,1,1
EisFla (4).png,0,0,1,1
EisFla (5).png,0,0,1,1
EisFla (6).png,0,0,1,1
EisFla (7).png,0,0,1,1
ElPas (1).png,0,1,1,0
ElPas (2).png,0,1,1,0
ElPas (3).png,0,1,1,0
ElPas (4).png,0,1,1,0
ElPas (5).png,0,1,1,0
ElPas (6).png,0,1,1,0
ElPas (7).png,0,1,1,0
ElPas (8).png,0,1,1,0
ElPas (9).png,0,1,1,0
ElPas (10).png,0,1,1,0
ElPas (11).png,0,1,1,0
ElPas (12).png,0,1,1,0
ElPas (13).png,0,1,1,0
ElPas (14).png,0,1,1,0
FujKis (1).png,0,1,0,0
FujKis (2).png,0,1,0,0
FujKis (3).png,0,1,0,0
FujKis (4).png,0,1,0,0
FujKis (5).png,0,1,0,0
FujKis (6).png,0,1,0,0
FujKis (7).png,0,1,0,0
GolCit (1).png,0,1,0,0
GolCit (2).png,0,1,0,0
GolCit (3).png,0,1,0,0
GolCit (4).png,0,1,0,0
GolCit (5).png,0,1,0,0
GolCit (6).png,0,1,0,0
GolCit (7).png,0,1,0,0
GolShi (1).png,0,0,1,1
GolShi (2).png,0,0,1,1
GolShi (3).png,0,0,1,1
GolShi (4).png,0,0,1,1
GolShi (5).png,0,0,1,1
GolShi (6).png,0,0,1,1
